Well Name,Last Production,Days since 2023-09-07
Aaron #1,2023-09-04,3
Allen #1,2016-03-27,2720
Aniken #1,2023-08-15,23
Annpick #1,2023-09-07,0
BMMP #1,2023-09-07,0
Balfour #1,2023-09-07,0
Barrier #1,2023-09-07,0
Beeler Ranch #1,2023-09-07,0
Bermuda #1,2023-08-22,16
Betty #1,2019-02-17,1663
Big Sonny #1,2023-08-28,10
Blackmon #1,2023-09-07,0
Blas Reyes #1,2023-09-07,0
Bond #1,2023-09-05,2
Box #1,2016-12-08,2464
Branton #1,2022-12-13,268
Bruce Weaver #1,2023-09-06,1
Bruce Weaver #2,2022-12-31,250
Bruce Weaver #2 RE,2023-09-07,0
Burns Ranch #2,2023-09-07,0
Burns Ranch Gt #1,2023-01-13,237
CR #101,2023-09-07,0
CR #201,2023-09-07,0
CR #301,2023-09-07,0
CR #302,2023-09-07,0
CR #401,2023-09-05,2
CR #501,2023-09-04,3
CR #939,2023-09-07,0
CT #1,2023-09-07,0
Cannan #1,2023-09-07,0
Carolpick #1,2023-09-07,0
Carolyn #1,2023-09-07,0
Cenizo #1,2023-09-07,0
Chad #1,2023-09-07,0
Charles B #1,2023-09-07,0
Circle T #1,2023-09-06,1
Cornett #1 Swd,2023-07-20,49
Cross S #1,2023-09-06,1
Dale #1,2023-09-07,0
Dial #1 ST,2023-09-07,0
Dillard #1,2023-09-07,0
Drinkard #1,2023-09-07,0
Dunkle #2,2023-09-02,5
Dunlap #1,2023-09-07,0
Dyess #1,2023-09-07,0
Eileen #1,2023-09-06,1
Evergreen #1,2023-09-07,0
Fatheree #1,2023-09-07,0
Flower #1,2023-09-07,0
Flying G #1,2018-09-20,1813
Gail #1,2023-09-07,0
Gil #1,2023-09-06,1
Grissom #1,2023-09-06,1
Haby #1,2018-07-18,1877
Huber #1,2020-07-29,1135
J Beeler #1,2023-09-07,0
JIC #1,2023-09-07,0
JIC Buda #1,2023-09-07,0
JJ #1,2023-09-07,0
Jessica #1,2023-09-07,0
Joe #1,2023-08-14,24
Joseph #1,2023-09-04,3
Jred #1,2023-09-07,0
Kay #1,2023-09-07,0
Kiley #1,2023-09-07,0
Kirby #1,2021-04-19,871
Kleimann #1,2023-09-07,0
Kleimann #3,2023-06-09,90
LT #1,2023-09-06,1
La Rosita #1,2023-07-30,39
Lackey Five #1,2023-09-07,0
Lamb #1,2023-09-07,0
Lander #1,2023-09-05,2
Leary Trust #1,2023-09-06,1
Little 179 #1,2023-09-07,0
Lochte #1,2023-09-07,0
MDB #1,2023-09-07,0
Marguerite #1,2023-08-23,15
Marpick #1,2023-09-07,0
Marrs #1,2023-09-07,0
Mclean #1,2020-11-29,1012
Molak #1,2023-09-07,0
Montemayor #1,2023-04-14,146
Moreland #1,2023-07-30,39
PC #1,2023-09-07,0
Palm #1,2023-08-22,16
Parkway #1,2023-09-07,0
Pecan Grove #1,2023-06-02,97
Pfeiffer #1,2023-09-07,0
Pfeiffer #2,2022-09-01,371
Pickens #1,2023-09-01,6
Pickens Weaver #1,2023-09-07,0
Pickwill #1,2023-09-06,1
Preston #1,2023-08-21,17
RAB #1,2023-09-07,0
RAB #2,2023-09-07,0
RAB #3,2023-09-07,0
Rhodes #1,2022-11-05,306
Richard #1,2023-09-07,0
Richardson #1,2023-09-07,0
Rio Nueces #1,2013-08-23,3667
Ronald #1,2023-09-07,0
Russell #1,2023-09-07,0
Ruth #1,2023-09-07,0
Ruthpick #1,2023-09-07,0
Sansom #1,2023-09-07,0
Solansky #1,2023-09-06,1
Sugarland #1,2023-09-07,0
Thalmann #1,2023-09-07,0
Thompson #1,2020-06-21,1173
Thompson #2,2023-09-07,0
Thuss #1,2023-09-07,0
Tlapek #1,2023-09-07,0
Triple J #2,2023-08-24,14
Trotter #1,2023-09-07,0
VRE Minerals #1,2023-09-07,0
Vermillion #1,2023-08-10,28
Verna #1,2023-08-04,34
White Marlin #1,2023-08-03,35
Whittington #1,2023-09-07,0
